H_Stride Length,H_Toe Height,H_Stride Duration,H_Swingphase Duration,H_Stancephase Duration,F_Stride Length,F_Toe Height,F_Stride Duration,F_Swingphase Duration,F_Stancephase Duration
1.736,0.8178,0.5625,0.1125,0.45,4.402,0.81075,0.4,0.0625,0.3375
5.239,1.0716,0.7,0.4125,0.2875,2.728,1.17735,1.1375,0.0875,1.05
5.704,0.5076,1.0375,0.1,0.9375,6.231,1.00815,0.7125,0.0625,0.65
1.333,0.5358,0.4875,0.1625,0.325,4.402,0.9588,0.75,0.1375,0.6125
6.138,0.423,0.7875,0.15,0.6375,5.177,1.1139,0.75,0.075,0.675
5.394,0.7332,0.5625,0.1,0.4625,5.828,0.9588,0.5,0.0625,0.4375
4.588,0.6486,0.8125,0.075,0.7375,2.666,0.9024,0.8875,0.075,0.8125
5.363,0.423,0.65,0.1,0.55,4.402,1.0011,0.4875,0.0625,0.425
6.107,1.9458,1.15,0.425,0.725,3.937,1.692,1.3,0.1125,1.1875
7.285,2.47455,1.325,0.225,1.1,5.704,0.9306,0.525,0.2125,0.3125
6.8676,1.711,0.9375,0.1125,0.825,3.658,1.0152,0.325,0.0375,0.2875
2.037,0.022125,0.55,0.0625,0.4875,3.1,0.9306,0.2625,0.0375,0.225
5.5581,2.249375,0.8625,0.1,0.7625,4.867,2.3406,0.6,0.0625,0.5375
5.7327,1.305375,1.1625,0.1,1.0625,5.828,1.29015,0.6,0.05,0.55
6.0528,1.475,0.65,0.15,0.5,5.301,0.8742,0.55,0.1,0.45
5.0343,1.998625,1.275,0.1,1.175,4.65,1.269,0.7,0.175,0.525
6.0528,1.777375,0.625,0.125,0.5,2.48,1.52985,0.8125,0.075,0.7375
5.238,2.042875,2.0125,0.1,1.9125,4.092,1.269,0.825,0.075,0.75
5.1798,1.025125,0.5875,0.0875,0.5,5.301,1.02225,0.8,0.0875,0.7125
3.9576,1.28325,0.975,0.6125,0.3625,4.371,0.89535,0.8125,0.075,0.7375
6.2856,0.8555,0.8875,0.1,0.7875,4.619,1.2549,0.625,0.05,0.575
5.6163,1.7405,1.25,0.1125,1.1375,5.239,1.0575,0.7125,0.075,0.6375
6.4602,1.475,0.825,0.15,0.675,3.813,1.02225,0.6625,0.1,0.5625
3.1137,1.393875,0.6125,0.1125,0.5,4.185,1.0152,0.2875,0.05,0.2375
5.4708,1.408625,0.85,0.1125,0.7375,1.581,0.31725,0.7625,0.0375,0.725
6.7512,1.5635,1.6875,0.125,1.5625,3.937,1.1703,0.325,0.0375,0.2875
7.5078,1.22425,0.8875,0.15,0.7375,3.441,1.00815,0.4125,0.1375,0.275
5.4708,1.084125,0.7375,0.1125,0.625,2.945,1.41,0.3375,0.0625,0.275
2.5026,0.81125,0.7625,0.075,0.6875,2.201,1.8894,0.7,0.075,0.625
5.3544,1.069375,0.675,0.1125,0.5625,3.162,0.846,0.5,0.2375,0.2625
4.8888,1.231625,0.7125,0.1875,0.525,1.767,1.36065,0.5,0.05,0.45
4.5978,1.18,1.1125,0.1,1.0125,4.123,1.0293,0.2875,0.05,0.2375
4.8015,2.10925,0.9875,0.1375,0.85,6.014,2.7918,0.575,0.075,0.5
3.8994,0.700625,1.5375,0.2375,1.3,2.263,0.9447,0.5125,0.0375,0.475
2.2989,1.357,0.7125,0.1,0.6125,2.976,1.3395,0.55,0.0875,0.4625
4.2777,1.290625,0.8,0.125,0.675,3.875,1.4241,0.6,0.0625,0.5375
3.9867,0.885,0.8125,0.1,0.7125,4.092,1.4382,0.375,0.05,0.325
4.1613,1.22425,0.725,0.1125,0.6125,2.17,1.07865,0.5,0.1,0.4
5.7618,1.13575,2.4125,0.1875,2.225,2.604,1.3254,0.5625,0.05,0.5125
